Model_Name,Brand,weight(ounces),Ratings,Price($),Color
LIVE 460NC,JBL, 7.4 ounces ,3630,"BL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",Black
Elite 45h,Jabra, 5.6 ounces ,1299,age 1 of 1  ,Titanium Black
AmazonBasics In-ear Headphones with Mic,Amazon Basics, 0.424 ounces ,13477,8.09,Black
,Samson, 5.6 ounces ,132,19.49,"Red, Black"
WH-816,TUINYO, 11.8 ounces ,16699,25.93,Rose Gold
language _ tag,NENOS, 7 ounces ,10798,29.99,Lavender
B01,MIDOLA, 9 ounces ,10002,14.41,Rose Pink
language _ tag,PowerLocus, 10.6 ounces ,10238,age 1 of 1,N-Red
Headphones 700,Bose, 8.8 ounces ,30900,329.00,Black
Dime,Skullcandy, 1.13 ounces ,43724,21.70,Light Grey/Blue
language _ tag,WYZE, 9.9 ounces ,3449,age 1 of 1,Black
G9000,BENGOO, ,96836,21.21,Blue
MDR-ZX100,Sony, 9.6 ounces ,10560,age 1 of 1,Red
Wired Headphones,WEIZY, 0.353 ounces ,5735,10.33,White
KPH30iw,Koss, 5.6 ounces ,3015,,White/Blue
HD 599,Sennheiser Consumer Audio, 8.8 ounces ,6902,age 1 of 1  ,Ivory
HD 569,Sennheiser Consumer Audio, 1.65 pounds ,1719,age 1 of 1,Black
VOYAGER 4320 UC V4320 C,Plantronics, 1.41 pounds ,100,age 1 of 1,Black
Beats Flex,Beats,,45926,46.41,Beats Black
Vibe 200TWS,JBL, 1.69 ounces ,9952,"BL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",Black
HD 650,Sennheiser Consumer Audio, 9.1 ounces ,2566,365.00,Titan
earbuds,Jogteg, 2.89 ounces ,4918,16.99,Black+White+Blue+Pink+Green
,Symphonized, 2.4 ounces ,3866,,Red
language _ tag,Edifier, 4.2 ounces ,2065,age 1 of 1,White
Wireless Noise Cancelling Over-the-Ear,Sony, 1.3 pounds ,2,139.94,Black
Set,Skullcandy, 0.704 ounces ,604,11.54,True Black
BE1032,APEKX, 2.72 ounces ,25633,31.99,Black
Cassette Wireless,Skullcandy, 5.2 ounces ,4296,age 1 of 1  ,Black
MDR-RF985RK,Sony, 10.6 ounces ,5149,169.00,Black
HZA101,Hongzan, 3.08 pounds ,142,age 1 of 1  ,Black
HX,Bang & Olufsen, 10.1 ounces ,586,298.24,Gold Tone
TUNE 660NC,JBL, 5.9 ounces ,2345,99.95,Black
