Model_Name,Brand,weight(pounds),Ratings,Price($),Color
190338,Maxell,0.2,0.004564812278807993,12,Black
G951S Purple,SOMIC,0.06875,0.1351005422280938,39,Purple
LIVE FAST - BLACK,Jam,0.041875,0.006265428617971755,25,Black
GUMY Mini,JVC,0.2,0.00161111021604988,18,Black
Philips Sport Bone Conduction Headphones,Philips Audio,0.61875,0.0016827151145409858,77,Black
Smile Jamaica,House of Marley,0.31875,0.007285798421470013,59,Brass
HAECX20W,JVC,0.1875,0.0012709869482171276,9,WHITE
T2205,Philips Audio,0.070625,0.00588950290089345,17,Red
T22x6,Philips Audio,0.0308125,0.0186172736076875,14,MidBlack
Sesh,Skullcandy,0.3125,0.7281860152053002,39,Black
WH-1000XM3,Sony,0.5625,0.3864337359318751,499,Silver
Lenovo 100 Stereo Analog Headset GXD1B60597,Lenovo,unknown,0.02898208266427506,19,Grey
ELIT 100,TCL,0.1,0.004690120851167428,9,MidBlue
NS-HAWHP2,INSIGNIA,0.11,0.006569749436558955,95,Black
SC 75 USB MS,Sennheiser,0.1875,0.001288888172839904,95,Black
BP-Tonies-Red,Tonies,0.2625,0.006927773929014484,22,Red
HAS35BTB,JVC,0.35,0.002828393490398678,34,Black
HD1,Sennheiser,0.575,0.006050613922498438,236,Black
Life Dot 2,Soundcore,0.22,0.21252333872160195,59,Black
HD 559,Sennheiser,0.09375,0.04052837254596587,79,Black
Porta Pro,Koss,0.0398125,0.0034907388014414065,51,Black
HAECX20B,JVC,0.044,0.005996910248630109,33,Black
Indy XT,Skullcandy,0.023125,0.020908630359402887,54,Black
Shadow,SOL REPUBLIC,0.070625,0.0054061698360784866,99,Gold
kendir-k1,Kendir,0.017625,0.2507066508419841,17,Black
V2 Pro,Razer,0.575,0.22177827185157736,248,Black
BEBE-TV920-HS,Unisar,unknown,0.006820366581277825,35,Black
SCS2DUW-K012,Skullcandy,0.02075,0.022537641800075545,8,Blue
SE215SPE-A,Shure,unknown,0.07498822994481052,108,Blue
ATH-CKS5TWBK,Audio-Technica,0.16625,0.0037234547215375005,59,Black
COMPACT True Wireless,JVC,0.2,0.0004475306155694111,32,Black
Earbud Style,JVC,0.06625,0.0006265428617971755,9,Blue
WHCH700N/L,Sony,0.53125,0.029232699808993932,169,Blue
Kraken V3,Razer,0.09625,0.04052837254596587,99,Black
Icon Wireless,Skullcandy,0.23375,0.008413575572704928,50,Black
HD 559,Sennheiser,0.09375,0.04052837254596587,79,Black
SteelSeries Arctis 3 Console,SteelSeries,0.075625,0.12049314293590825,69,White
310l,Sony,0.28125,0.06576909926408066,24,Blue
RP-HJE125E-W,Panasonic,0.04,0.03361849984157416,9,Orange
Nutek,Nutek,0.5,1.7901224622776444e-05,27,White
Xelento Remote,Beyerdynamic,0.0625,0.0016290114406726564,999,Silver
Kraken X,Razer,unknown,0.5615256139672515,68,White
WHCH710N,Sony,0.49375,0.10192957300208907,139,Black
ZX110NC Noise Cancelling Headphones,Sony,0.33125,0.18955606753057977,34,Black
MDR-V150,Sony,0.45,0.06415798904803077,28,Black
WHCH710N,Sony,0.4875,0.38799114247405664,148,Black
WIXB400/B,Sony,0.04625,0.8374192878534821,28,Black
MDR7506,Sony,0.084375,0.00886110618827434,94,Black
WI-C310/B,Sony,0.0425,0.126919682575485,19,Black
WH1000XM4/B,Sony,0.5625,0.8342328698706278,348,Black
MDR-RF985RK,Sony,0.6625,0.09215550435805313,169,Black
Wireless Noise Cancelling Over-the-Ear,Sony,0.08125,1.7901224622776444e-05,139,Black
WH-1000XM3,Sony,0.5625,0.14739868354394123,294,SILVER
MDRV55,Sony,0.46875,0.06727280213239388,89,Black
Pro-10,OneOdio,0.6625,0.7102847905825237,30,Black
Studio Wireless(Y80B),OneOdio,unknown,0.06546477844549346,37,Black
Pro-30,OneOdio,0.55,0.16427953836321943,33,Silver
A10-BK,OneOdio,0.99375,0.002738887367284796,119,Black
A11,OneOdio,0.4875,0.02250183935082999,37,Black
OneOdio A100,OneOdio,0.12375,0.00017901224622776443,69,White
G9000,BENGOO,unknown,1.7334829875711797,21,Blue
JBL Quantum 100 - Black,JBL,0.4875,0.22344308574149557,39,Black
LIGHTSPEED Wireless Gaming Headset,Logitech G,0.3625,0.09088451740983601,37,White
Arctis Nova 7X Wireless Multi-Platform ,SteelSeries,0.1,0.2055776635679647,148,Black
H3,Sony,0.65625,0.012405548663584075,78,White
JBL Quantum 400 - Black,JBL,0.60625,0.036070967614894534,77,Black
G733 LIGHTSPEED,Logitech G,0.6125,0.19472952144656216,173,White
NEARPHONES,JVC,0.36875,0.0039561706416335945,48,Black
Life Q20,Soundcore,0.58125,0.8434520005513577,64,Black
Life Q30,Soundcore,0.58125,0.38688126654744454,79,Black
