Model_Name,Brand,weight(pounds),Ratings,Price($),Color
NCredible1 Bluetooth Wireless Headphones,NCREDIBLE,0.55,0.0070172800521283,unknown,Red
Overhead Headphones,Philips Audio,0.8375,0.0085567853696871,99,Black
Focal Bathys Noise cancelling headphones,Focal,0.1625,0.0007339502095338,799,Black
B01M19CBG9,Sony,0.04375,0.0060506139224984,24,Gray
Explore+,ONANOFF,0.5625,0.0368586214982967,unknown,White
TONE-FP9,LG,0.099375,0.0325981300380759,unknown,Black
ATH-SPORT50BTYL,Audio-Technica,0.3,0.0032938253305908,18,Yellow
AMPS AIR 2.0,SOL REPUBLIC,0.26875,0.0120833266203741,28,Rose Gold
Galaxy Buds2,SAMSUNG,0.011,0.2475202328591298,unknown,Graphite
H2O TRI Multi-Sport,H2O Audio,0.070625,0.0004475306155694,58,Black
190338,Maxell,0.2,0.0045648122788079,12,Black
HT01,AMORNO,0.116875,0.0545092289763542,unknown,Grey
SMS-EB-PNK,SMS Audio,0.03,0.0034728375768186,unknown,Pink
TONE-FP5,LG,0.114375,0.0223049258799794,unknown,Black
G951S Purple,SOMIC,0.06875,0.1351005422280938,39,Purple
Magicbuds,Hussar,0.0375,0.1611647252788563,unknown,Black
REVO Wireless,Jabra,0.6875,0.0163617193052176,unknown,Black
RP-HT21,Panasonic,0.0625,0.0035802449245552,unknown,Gray
VOYAGER 4310 UC V4310 C,Plantronics,0.26875,0.0056388857561745,unknown,Black
LIVE FAST - BLACK,Jam,0.041875,0.0062654286179717,25,Black
GUMY Mini,JVC,0.2,0.0016111102160498,18,Black
Philips Sport Bone Conduction Headphones,Philips Audio,0.61875,0.0016827151145409,77,Black
HS60 Pro,Corsair,0.7,0.1653894142898315,unknown,Carbon
MDRXB400IP/AP,Sony,0.33125,0.0063012310672173,unknown,Black
Smile Jamaica,House of Marley,0.31875,0.00728579842147,59,Brass
HAECX20W,JVC,0.1875,0.0012709869482171,9,WHITE
T2205,Philips Audio,0.070625,0.0058895029008934,17,Red
T22x6,Philips Audio,0.0308125,0.0186172736076875,14,MidBlack
WFLS900N/W,Sony,0.011,0.0238444311975382,unknown,White
Talk 25 SE,Jabra,0.0189375,0.0073753045445838,unknown,Black
BlackShark V2 X,Razer,0.075,0.2216708645038407,unknown,Black
UR20,Koss,0.11,0.0866419271742379,unknown,Black
Sesh,Skullcandy,0.3125,0.7281860152053002,39,Black
WH-1000XM3,Sony,0.5625,0.3864337359318751,499,Silver
dgea,Symphonized,0.025,0.2944751450446725,unknown,Purple
ADHF-TR509-BLK1,Avantree,0.044,0.0042067877863524,unknown,Gross Black
ELIT 100,TCL,0.1,0.0046901208511674,9,MidBlue
HP5500B,Morpheus 360,0.65,0.0009666661296299,unknown,Black 
Dgea,Symphonized,0.025,0.2944751450446725,unknown,Purple
NS-HAWHP2,INSIGNIA,0.11,0.0065697494365589,95,Black
SC 75 USB MS,Sennheiser,0.1875,0.0012888881728399,95,Black
4091226,Sennheiser,0.275,0.0025240726718114,unknown,Gray
BP-Tonies-Red,Tonies,0.2625,0.0069277739290144,22,Red
TONE-T90Q.AUSACBK,LG,0.2875,0.0012351844989715,unknown,Black
HBS-SL6S,LG,0.1,0.0173820891087159,unknown,Black
HAS35BTB,JVC,0.35,0.0028283934903986,34,Black
HD1,Sennheiser,0.575,0.0060506139224984,236,Black
Life Dot 2,Soundcore,0.22,0.2125233387216019,59,Black
KZ ZAS,G.K,0.0595,0.0074111069938294,unknown,ZAS-white
HD 559,Sennheiser,0.09375,0.0405283725459658,79,Black
Fuelbase Wireless Charge Pad,Skullcandy,0.29375,0.0006086416371743,unknown,Orange
Porta Pro,Koss,0.0398125,0.0034907388014414,51,Black
TONE-TF8Q.AUSACBI,LG,0.35625,0.0003759257170783,unknown,Black
HAECX20B,JVC,0.044,0.0059969102486301,33,Black
Indy XT,Skullcandy,0.023125,0.0209086303594028,54,Black
Shadow,SOL REPUBLIC,0.070625,0.0054061698360784,99,Gold
kendir-k1,Kendir,0.017625,0.2507066508419841,17,Black
JBudsPRO,JLab,0.070625,0.0368228190490511,unknown,Purple
V2 Pro,Razer,0.575,0.2217782718515773,248,Black
Opus X,Razer,0.6125,0.0064265396395767,unknown,Razer Green
Focal Utopia BE Headphones,Focal,0.63625,5.370367386832933e-05,unknown,Black
SCS2DUW-K012,Skullcandy,0.02075,0.0225376418000755,8,Blue
QX-003,Generic,0.0625,0.0001253085723594,unknown,Black
E1024BT,1MORE,0.05125,0.0079302425078899,unknown,Green
HamiltonBuhl Flex-Phones ,HamiltonBuhl,0.41875,0.0012888881728399,unknown,Black
Stadion,Urbanears,0.0375,0.0038308620692741,unknown,Gray
