Model_Name,Brand,weight(pounds),Ratings,Price($),Color
Microsoft LifeChat LX-3000 Headset ,Microsoft,0.51875,0.04484,29,Black
TWS,MDNS,0.24,0.01559,14,White
Planamic,DROP,0.05,9e-05,21,Black
Harman Kardon Fly ,Harman Kardon,0.61875,0.00116,139,Black
Bang & Olufsen Beoplay E8 ,Bang & Olufsen,0.01325,0.01983,181,Black
Sealed Studio Monitor HD661,Superlux,0.41875,0.00267,56,White
Freebuds Pro,HUAWEI,0.1325,0.06376,216,Silver
SoundForm,Belkin,0.22,0.01151,42,Black
HAS90BNB,JVC,0.55,0.00061,149,Black
EM-SP1,emotal,0.03688,0.00843,20,Black
i12,CDB,0.13,0.00861,7,White
HD 700,Sennheiser,0.9,0.00569,365,Black
MDR-EX37B,V-MODA,0.09375,0.00362,230,White
H6 Pro Open,EPOS Gaming,0.68125,0.0119,179,White
SN503,Philips Audio,0.08812,0.001,69,Black
G335,Logitech G,0.5,0.06867,69,Mint
Beoplay H9i,Bang & Olufsen,0.61875,0.01957,499,Black
DT 1990,beyerdynamic,0.18375,0.00127,299,Black
HAA50TB,JVC,0.425,0.00533,31,Black
SG_B079J4Q6F7_US,Sony,0.8,0.00367,59,Black
JBuds Work,JLab,0.08125,0.00809,68,Black
Listening First,Califone,0.1,0.00265,21,Yellow
Y60,Generic,0.1275,0.0,10,Black
WI-1055,Wicked Audio,0.1,0.00158,10,White
Life P3,Soundcore,0.14,0.37501,59,Black
ER3SE,Etymotic Research,0.03962,0.00439,159,Black
Blackwire 3320 USB-A,Plantronics,0.25,0.02664,44,Black
DGHP-5640,iSound,0.2,0.00055,29,Black
BT460WH,Phiaton,0.53125,0.00093,329,White
Bass,Maxell,0.5,0.00122,15,Black
E2000,Final,0.044,0.00313,44,Black
Sony WF-1000XM3,Sony,0.044,0.00209,149,Silver
HP-0062-FROZEN2,Artist Unknown,0.2875,0.00922,14,Blue
R175,UrbanX,0.3125,0.00088,49,Blue
FBA_715594-0010,Bose,0.06875,0.00145,79,Black
MDR-XB41EX,Sony,0.1,0.0009,149,Black
T1,Beyerdynamic,0.79375,0.00098,899,Black
NUBWO - N12,OCTTO,0.98125,0.04013,28,Black
ATH-ANC20,Audio-Technica,0.01875,0.00061,49,Black
MDRNC200D,Sony,0.11875,0.00333,120,Black
BT,Harman Kardon,0.19125,0.00603,119,Black
EAH-F70N,Technics,0.15563,0.00111,189,Silver
ZA800000WW,Lenovo,0.3,0.00041,49,Black
Air Cushion Wireless,JVC,0.2625,0.00066,29,Blue
ACM-70,Cyber Acoustics,0.1,0.0032,8,Black
Sennheiser HD1,Sennheiser,0.3,0.00899,59,Black
ATH-CKR7TWGY,Audio-Technica,0.19,0.00059,249,Grey
LN2MIC-ZMH4-MON,Sescom,0.15,0.00188,39,Black
N400NC,AKG,0.03969,0.00526,129,Black
ATH-ANC300TW,Audio-Technica,0.21875,0.00095,249,Black
P-Series,COMPLY,0.02,0.03349,11,Black
S1PRO-B,PopClik,0.0625,0.00057,13,Black
MDR1000X/C,Sony,0.60625,0.00303,294,Grey
FD5,FiiO,0.0485,0.00267,299,Silver
MH40B1,MASTER & DYNAMIC,0.15812,0.01307,169,Black
143237,Monoprice,0.09,0.0,551,Black
SE-MS5T-K,PIONEER,0.50625,0.02273,176,Black
