Model_Name,Brand,weight(pounds),Ratings,Price($),Color
Momentum 3 Wireless - Sandy White,Sennheiser,0.675,0.040152446828887564,499,White
Logitech,Logitech,0.3125,0.026637022238691348,unknown,Black
HARX330,JVC,0.75,0.06560798824247567,unknown,Black
JBuddies Pro,JLab,0.425,0.0036160473738008417,35,Blue
Galaxy Buds Pro,SAMSUNG,0.075,0.309172050459972,unknown,Black
Kraken Ultimate,Razer,unknown,0.15486349421163903,unknown,Black
IE 300,Sennheiser,0.0088125,0.006408638414953967,199,Black
VOYAGER 4310 UC V4310 C USB-CWW,Plantronics,0.26875,0.009398142926957634,unknown,Black
5200-UC-B,Global Teck Worldwide,0.22,0.004349997583334676,242,Black
Cystereo Fusion,Cystereo,0.01,0.003061109410494772,39,Black
ESS6001T-Gold,1MORE,0.0875,0.03261603126269868,139,Gold
Beoplay H4,Bang & Olufsen,0.5375,0.01772221237654868,199,Black
Sport2 Wireless,66 Audio,0.61875,0.0015216040929359978,64,Black and Red
ETYER2XR,Etymotic Research,0.41875,0.00930863680384375,unknown,Multicolored
Active Sport,Pyle,0.2,0.0029716032873808897,37,Pink
SE-MS7BT-S,PIONEER,0.06875,0.012548758460566287,169,Silver
DE-B50v9M,EKids,0.85625,0.011474684983199701,unknown,Black
JBuds Pro,JLab,0.11,0.16959620207618403,unknown,Black
WRAPSCDEN-V15M,Wraps,unknown,0.0038129608446513825,24,Black
Avengers Youth Headphones,eKids,0.36875,0.019494433614203548,unknown,Black
98968,Power Gear,0.12125,0.009756167419413162,unknown,Black
Air Cushion Wireless,JVC,0.2625,0.0010740734773665866,21,Black
Toy Story 4 Headphones,eKids,0.4875,0.04222898888512963,unknown,Black
Trekz,Aftershokz,0.088125,0.037986398649531614,unknown,Pink
Void ELITE Wireless Carbon,Corsair,0.88125,0.24580171529534336,unknown,Carbon
AONIC 50,Shure,unknown,0.020658013214684016,699,Brown
On Ear Headphones,JVC,0.56875,0.0006086416371743991,unknown,Black
Runner Pro,Naenka,0.079375,7.160489849110578e-05,unknown,Black
11641,TV Ears Inc,0.09875,0.05058886078396623,79,Black
NCredible1 Bluetooth Wireless Headphones,NCREDIBLE,0.55,0.007017280052128366,unknown,Red
Overhead Headphones,Philips Audio,0.8375,0.008556785369687141,99,Black
Focal Bathys Noise cancelling headphones,Focal,0.1625,0.0007339502095338342,799,Black
B01M19CBG9,Sony,0.04375,0.006050613922498438,24,Gray
Explore+,ONANOFF,0.5625,0.0368586214982967,unknown,White
TONE-FP9,LG,0.099375,0.032598130038075906,unknown,Black
ATH-SPORT50BTYL,Audio-Technica,0.3,0.0032938253305908657,18,Yellow
AMPS AIR 2.0,SOL REPUBLIC,0.26875,0.0120833266203741,28,Rose Gold
Galaxy Buds2,SAMSUNG,0.011,0.24752023285912989,unknown,Graphite
H2O TRI Multi-Sport,H2O Audio,0.070625,0.0004475306155694111,58,Black
190338,Maxell,0.2,0.004564812278807993,12,Black
HT01,AMORNO,0.116875,0.054509228976354275,unknown,Grey
SMS-EB-PNK,SMS Audio,0.03,0.00347283757681863,unknown,Pink
TONE-FP5,LG,0.114375,0.02230492587997945,unknown,Black
G951S Purple,SOMIC,0.06875,0.1351005422280938,39,Purple
Magicbuds,Hussar,0.0375,0.16116472527885634,unknown,Black
REVO Wireless,Jabra,0.6875,0.01636171930521767,unknown,Black
RP-HT21,Panasonic,0.0625,0.003580244924555289,unknown,Gray
VOYAGER 4310 UC V4310 C,Plantronics,0.26875,0.00563888575617458,unknown,Black
LIVE FAST - BLACK,Jam,0.041875,0.006265428617971755,25,Black
GUMY Mini,JVC,0.2,0.00161111021604988,18,Black
Philips Sport Bone Conduction Headphones,Philips Audio,0.61875,0.0016827151145409858,77,Black
HS60 Pro,Corsair,0.7,0.16538941428983156,unknown,Carbon
MDRXB400IP/AP,Sony,0.33125,0.006301231067217308,unknown,Black
Smile Jamaica,House of Marley,0.31875,0.007285798421470013,59,Brass
HAECX20W,JVC,0.1875,0.0012709869482171276,9,WHITE
T2205,Philips Audio,0.070625,0.00588950290089345,17,Red
T22x6,Philips Audio,0.0308125,0.0186172736076875,14,Black
WFLS900N/W,Sony,0.011,0.023844431197538225,unknown,White
Talk 25 SE,Jabra,0.0189375,0.007375304544583895,unknown,Black
BlackShark V2 X,Razer,0.075,0.22167086450384071,unknown,Black
UR20,Koss,0.11,0.08664192717423799,unknown,Black
Sesh,Skullcandy,0.3125,0.7281860152053002,39,Black
WH-1000XM3,Sony,0.5625,0.3864337359318751,499,Silver
Lenovo 100 Stereo Analog Headset GXD1B60597,Lenovo,unknown,0.02898208266427506,19,Grey
dgea,Symphonized,0.025,0.2944751450446725,unknown,Purple
ADHF-TR509-BLK1,Avantree,0.044,0.004206787786352464,unknown,Gross Black
Kraken Kitty,Razer,unknown,0.06396107557718024,unknown,Black
AONIC 5,Shure,unknown,0.012566659685189064,unknown,Clear
ELIT 100,TCL,0.1,0.004690120851167428,9,Blue
HP5500B,Morpheus 360,0.65,0.000966666129629928,unknown,Black 
Dgea,Symphonized,0.025,0.2944751450446725,unknown,Purple
NS-HAWHP2,INSIGNIA,0.11,0.006569749436558955,95,Black
PT943-00141,Genuine Toyota Parts,unknown,0.0011814808251032452,unknown,Black
SC 75 USB MS,Sennheiser,0.1875,0.001288888172839904,95,Black
4091226,Sennheiser,0.275,0.0025240726718114784,unknown,Gray
BP-Tonies-Red,Tonies,0.2625,0.006927773929014484,22,Red
TONE-T90Q.AUSACBK,LG,0.2875,0.0012351844989715746,unknown,Black
HBS-SL6S,LG,0.1,0.01738208910871593,unknown,Black
HAS35BTB,JVC,0.35,0.002828393490398678,34,Black
HD1,Sennheiser,0.575,0.006050613922498438,236,Black
Life Dot 2,Soundcore,0.22,0.21252333872160195,59,Black
FBA_NWWS413B,Sony,unknown,0.059217251052144475,unknown,Black
KZ ZAS,G.K,0.0595,0.007411106993829448,unknown,ZAS-white
USB Headset H340,Logitech,unknown,0.03861294151132879,unknown,Black
HD 559,Sennheiser,0.09375,0.04052837254596587,79,Black
Fuelbase Wireless Charge Pad,Skullcandy,0.29375,0.0006086416371743991,unknown,Orange
Porta Pro,Koss,0.0398125,0.0034907388014414065,51,Black
TONE-TF8Q.AUSACBI,LG,0.35625,0.0003759257170783053,unknown,Black
HAECX20B,JVC,0.044,0.005996910248630109,33,Black
Indy XT,Skullcandy,0.023125,0.020908630359402887,54,Black
Shadow,SOL REPUBLIC,0.070625,0.0054061698360784866,99,Gold
kendir-k1,Kendir,0.017625,0.2507066508419841,17,Black
JBudsPRO,JLab,0.070625,0.036822819049051145,unknown,Purple
V2 Pro,Razer,0.575,0.22177827185157736,248,Black
Opus X,Razer,0.6125,0.006426539639576743,unknown,Razer Green
BEBE-TV920-HS,Unisar,unknown,0.006820366581277825,35,Black
Focal Utopia BE Headphones,Focal,0.63625,5.370367386832933e-05,unknown,Black
SCS2DUW-K012,Skullcandy,0.02075,0.022537641800075545,8,Blue
QX-003,Generic,0.0625,0.0001253085723594351,unknown,Black
E1024BT,1MORE,0.05125,0.007930242507889965,unknown,Green
HamiltonBuhl Flex-Phones ,HamiltonBuhl,0.41875,0.001288888172839904,unknown,Black
Stadion,Urbanears,0.0375,0.003830862069274159,unknown,Gray
SE215SPE-A,Shure,unknown,0.07498822994481052,108,Blue
ATH-CKS5TWBK,Audio-Technica,0.16625,0.0037234547215375005,59,Black
Voyager Focus 2 UC USB-C,Plantronics,0.81875,0.022949369966399402,unknown,Black
MTGHP2CA,Audiovox,unknown,0.0039740718662563705,unknown,Black
COMPACT True Wireless,JVC,0.2,0.0004475306155694111,32,Black
1MORE ComfoBuds ,1MORE,0.0088125,0.005996910248630109,unknown,Black
Earbud Style,JVC,0.06625,0.0006265428617971755,9,Blue
MDRXB450AP,Sony,0.3625,0.001449999194444892,unknown,Blue
WHCH700N/L,Sony,0.53125,0.029232699808993932,169,Blue
Kraken V3,Razer,0.09625,0.04052837254596587,99,Black
Icon Wireless,Skullcandy,0.23375,0.008413575572704928,50,Black
Plantronics Blackwire C5220 Headset,Plantronics,unknown,0.030038254917018874,unknown,Black
HD 559,Sennheiser,0.09375,0.04052837254596587,79,Black
SteelSeries Arctis 3 Console,SteelSeries,0.075625,0.12049314293590825,69,White
SteelSeries Arctis 3 Console,SteelSeries,0.075625,0.12049314293590825,unknown,White
PLUG B,Koss,0.0440625,0.04274812439919015,unknown,Blue
Wire-Free Earbuds,ILive,0.11,0.00014320979698221155,unknown,Black
IP7,Pyle,0.05,0.009487649050071515,unknown,White
LG TONE Free,LG,0.09875,0.01430307847359838,unknown,Black
GH-1-B,Pacrate,0.76875,0.13735609653056366,unknown,Black Blue
Smile Jamaica,House of Marley,0.198125,0.006337033516462861,unknown,Copper
RIPTIDZ True Wireless,JVC,0.2625,0.002828393490398678,unknown,Green
SAMSM-R170NZWAXAR,SAMSUNG,0.125,0.7870810442142347,unknown,White
SE425-CL,Shure,unknown,0.017185175637865386,unknown,Clear
